str_id	sound	map	english	chinese	source	speaker
str_386031	vo_1_1_11_70_2	mcc_1	18 hours, Chief.	18 小时，长官。	sndshd	机甲驾驶员

str_386032	vo_1_1_11_70_5	mcc_1	Check.	检测通过。	sndshd	机甲驾驶员

str_386033	vo_1_1_11_70_7	mcc_1	Check.	检测通过。	sndshd	机甲驾驶员

str_386034	vo_1_1_11_70_9	mcc_1	Check.	检测通过。	sndshd	机甲驾驶员

str_386035	vo_1_1_1_15_1	airdefense1	You're needed ASAP. Colonel Westmore has been wounded in the leg.	急需你过来。威斯特摩上校腿部负伤。	sndshd	Voss

str_386036	vo_1_1_1_15_3	airdefense1	Westmore demanded you.	威斯特摩点名要你。	sndshd	Voss

str_386037	vo_1_1_1_28_1	airdefense1	Are you picking up our medical chips?	你能收到我们的医疗芯片信号吗？	sndshd	Voss

str_386038	vo_1_1_1_28_3	airdefense1	Good. Now establish an uplink with HQ. Voss out.	好。现在与总部建立上行链路。沃斯完毕。	sndshd	Voss

str_386039	vo_1_1_7_110_2	mcc_landing	Nein. I don't know how to make it any simpler, you have to engage the primary override first.	不。我不知道还能说得多简单，你得先启动主控覆写。	sndshd	Strauss

str_386040	vo_1_1_7_110_4	mcc_landing	I shouldn't have to. It's plainly obvious. Do I have to come down there and walk you through it?	用不着我说。这明摆着的事。非得我下去手把手教你吗？	sndshd	Strauss

str_386041	vo_1_1_7_110_6	mcc_landing	Very well, Strauss out.	很好，施特劳斯完毕。	sndshd	Strauss

str_386042	vo_1_1_7_140_2	mcc_landing	Strauss, we've been over this - it's not gonna happen.	施特劳斯，这事我们说过了——不可能。	sndshd	

str_386043	vo_1_1_7_140_4	mcc_landing	Thank you, Private Strauss. Your grievance is noted.	谢谢你，施特劳斯列兵。你的不满我记下了。	sndshd	

str_386044	vo_1_2_12_30_1	convoy2b	Zebra 2, this is Bison 8. See anything?	斑马 2，我是野牛 8。看到什么了吗？	sndshd	野牛 8

str_386045	vo_1_2_12_30_2	convoy2b	I got nothing.	什么也没有。	sndshd	

str_386046	vo_1_2_12_30_3	convoy2b	Wait a second. I've got a reading.	等等。我有读数了。	sndshd	

str_386047	vo_1_2_12_30_4	convoy2b	Holy shit! What IS that?!	我操！那他妈是什么？！	sndshd	

str_386048	vo_2_2_10_195_1	mcc_1	On Venus, the city of Portsmith is scheduled to have temperatures in the low to mid 70's with rain from seven to eight am.	金星方面，波特史密斯市气温预计 70 度出头，上午七点至八点有雨。	sndshd	

str_386049	vo_2_2_10_195_2	mcc_1	The city of New Berlin be in the mid to upper 70's and clear.	新柏林市，75 度上下，晴。	sndshd	

str_386050	vo_2_2_10_195_3	mcc_1	And the spaceport, Aldrin, is still under repair from the meteor storm so the average temperature will be in the mid to upper 400's.	航天港奥尔德林受流星风暴损毁仍在维修，平均气温将达 400 多度。	sndshd	

str_386051	vo_2_2_10_251_1	mcc_2	Exterior shields sustaining heavy damage.	外层护盾遭受严重破坏。	sndshd	

str_386052	vo_2_2_10_251_10	mcc_2	Danger! Hull has been breached on decks two and three. Danger! Hull has been breached.	危险！二、三号甲板船体破损。危险！船体已破损。	sndshd	

str_386053	vo_2_2_10_251_2	mcc_2	Shields are at 86%.	护盾 86%。	sndshd	

str_386054	vo_2_2_10_251_3	mcc_2	Shields at 72%, rerouting power from propulsion.	护盾 72%，从推进系统重新供电。	sndshd	

str_386055	vo_2_2_10_251_4	mcc_2	Shields currently at 63%	护盾当前 63%。	sndshd	

str_386056	vo_2_2_10_251_5	mcc_2	Warning. Exterior shields are at 48%.	警告。外层护盾 48%。	sndshd	

str_386057	vo_2_2_10_251_6	mcc_2	Aft shields intermittent. Damage reported on Decks 2 and 3.	后部护盾时断时续。二、三号甲板报告受损。	sndshd	

str_386058	vo_2_2_10_251_7	mcc_2	Warning. Shields have dropped to 29%.	警告。护盾降至 29%。	sndshd	

str_386059	vo_2_2_10_251_8	mcc_2	Danger. Exterior shields are at 13%.	危险。外层护盾 13%。	sndshd	

str_386060	vo_2_2_10_251_9	mcc_2	Exterior shields are down.	外层护盾失效。	sndshd	

str_386061	vo_2_2_10_265_1	mcc_2	Paging Private Herman. Paging Private Paul Herman. Please report to General Harper's office.	呼叫赫尔曼列兵。呼叫保罗 赫尔曼列兵。请到哈珀将军办公室报到。	sndshd	

str_386062	vo_2_2_10_270_1	mcc_2	Evac drills for decks 4 and 5 to commence at oh two hundred hours.	四、五号甲板撤离演习于两点整开始。	sndshd	

str_386063	vo_2_2_10_280_1	mcc_2	Security, report to deck 2. A Strogg Warrior has been sighted.	安保注意，到二号甲板报到。发现一名 Strogg 战士。	sndshd	

str_386064	vo_2_2_10_290_1	mcc_2	Condor squad, report to briefing room 4.	「神鹰」小队，到四号简报室报到。	sndshd	

str_386065	vo_2_2_10_326_2	mcc_2	That's Matthew Kane. He's not a Strogg and he's been given full clearance.	那是马修 凯恩。他不是 Strogg，已获完全通行许可。	sndshd	

str_386066	vo_2_2_20_10_1	mcc_2	Wolf squad, report to engineering and repel boarding parties.	「野狼」小队，到轮机舱报到，击退登舰的敌人。	sndshd	

str_386067	vo_2_2_20_20_2	mcc_2	Roger that, control.	收到，指挥。	sndshd	

str_386068	vo_2_2_20_40_2	mcc_2	I will be prepped for launch in two minutes, control.	我两分钟后准备发射，指挥。	sndshd	

str_386069	vo_2_2_20_50_4	mcc_2	This is Bay 42. The pod is away. Running diagnostics for next launch cycle.	这里是 42 号舱。发射舱已离舰。正在为下一轮发射做诊断。	sndshd	42 号舱

str_386070	vo_2_2_20_60_1	mcc_2	Control, I'm having a little trouble with navigation.	指挥，我的导航有点问题。	sndshd	

str_386071	vo_2_2_20_60_2	mcc_2	I confirm that. Re-transmitting pod flight plan.	我确认。重新发送发射舱飞行计划。	sndshd	

str_386072	vo_3_1_20_30_1	network1	What has he been up to?	他最近有什么动向？	sndshd	

str_386073	vo_3_1_20_30_3	network1	Does he represent a threat?	他构成威胁吗？	sndshd	

str_386074	vo_3_1_20_30_5	network1	Keep a close eye on him. Section 13, out.	盯紧他。13 区，完毕。	sndshd	

str_386075	vo_3_1_2_10_2	storage1	Don't let the Strogg makeup fool ya - he's a damn fine Marine.	别被那副 Strogg 模样骗了——他是个顶呱呱的陆战队员。	sndshd	

