vo_1_1_1_68_1	Miller
vo_pa_putra_30	敌军广播
vo_pa_putra_40	敌军广播
vo_pa_putra_50	敌军广播
vo_pa_putra_60	敌军广播
vo_pa_putra_70	敌军广播
vo_pa_recomp_10	敌军广播
vo_pa_recomp_20	敌军广播
vo_pa_recomp_30	敌军广播
vo_pa_storage1_10	敌军广播
vo_pa_storage1_100	敌军广播
vo_pa_storage1_110	敌军广播
vo_pa_storage1_120	敌军广播
vo_pa_storage1_130	敌军广播
vo_pa_storage1_20	敌军广播
vo_pa_storage1_30	敌军广播
vo_pa_storage1_40	敌军广播
vo_pa_storage1_50	敌军广播
vo_pa_storage1_60	敌军广播
vo_pa_storage1_70	敌军广播
vo_pa_storage1_80	敌军广播
vo_pa_storage1_90	敌军广播
vo_pa_storage2_10	敌军广播
vo_pa_tram1_10	敌军广播
vo_pa_tram1_20	敌军广播
vo_pa_tram1_30	敌军广播
vo_pa_tram1_40	敌军广播
vo_pa_tram1_50	敌军广播
vo_pa_walker_10	敌军广播
vo_pa_walker_20	敌军广播
vo_pa_walker_30	敌军广播
vo_pa_walker_40	敌军广播
vo_pa_walker_50	敌军广播
vo_pa_waste_10	敌军广播
vo_pa_waste_20	敌军广播
vo_pa_waste_30	敌军广播
vo_pa_waste_40	敌军广播
vo_pa_waste_50	敌军广播
vo_pa_waste_60	敌军广播
storage_voice_floor	敌军广播
storage_voice_repairdroid	敌军广播
storage_voice_tactical	敌军广播
vo_1_1_11_340_2	Looms
vo_1_1_11_350_2	Looms
vo_1_1_11_350_4	Looms
vo_1_1_11_350_6	Looms
vo_1_1_11_395_1	侦察兵
vo_1_1_11_395_3	侦察兵
vo_1_1_11_40_4	机甲驾驶员
vo_1_1_11_40_6	机甲驾驶员
vo_1_1_11_40_8	机甲驾驶员
vo_1_1_11_40_10	机甲驾驶员
vo_1_1_11_70_2	机甲驾驶员
vo_1_1_11_70_5	机甲驾驶员
vo_1_1_11_70_7	机甲驾驶员
vo_1_1_11_70_9	机甲驾驶员
vo_1_1_1_15_1	Voss
vo_1_1_1_15_3	Voss
vo_1_1_1_28_1	Voss
vo_1_1_1_28_3	Voss
vo_1_1_7_110_2	Strauss
vo_1_1_7_110_4	Strauss
vo_1_1_7_110_6	Strauss
vo_1_2_12_30_1	野牛 8
vo_2_2_20_50_4	42 号舱
